0_Name_of_Disease,1_Disease_URL,2_Image_of_Disease_URL
Corn images,https://dermnetnz.org/topics/corn-clavus-images,https://dermnetnz.org/assets/Uploads/clavus11-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cutaneous horn images,https://dermnetnz.org/topics/cutaneous-horn-images,https://dermnetnz.org/assets/Uploads/horn-03-s-1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cutaneous lupus erythematosus images,https://dermnetnz.org/topics/cutaneous-lupus-erythematosus-images,https://dermnetnz.org/assets/Uploads/lupus-facial-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cutaneous tuberculosis images,https://dermnetnz.org/topics/cutaneous-tuberculosis-images,https://dermnetnz.org/assets/Uploads/papulonecrotic-tb1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cysts affecting the vulval area images,https://dermnetnz.org/,https://dermnetnz.org/assets/Uploads/2617-1__FocusFillWzE1MCwxMTAsInkiLDE2XQ.jpg
Deep dermal disorder images,https://dermnetnz.org/image-catalogue/deep-dermal-disorder-images,https://dermnetnz.org/assets/Uploads/lymphoma1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dermatitis images,https://dermnetnz.org/topics/atopic-dermatitis-images,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dermatofibroma images,https://dermnetnz.org/topics/dermatofibroma-images,https://dermnetnz.org/assets/Uploads/2400__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dermatomyositis images,https://dermnetnz.org/topics/dermatomyositis-images,https://dermnetnz.org/assets/Uploads/dermatomyositis-eyelids-4__FocusFillWzE1MCwxMTAsIngiLDhd.jpg
Dermographism images,https://dermnetnz.org/topics/dermographism-images,https://dermnetnz.org/assets/Uploads/dermographism04-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dermoscopy course images,https://dermnetnz.org/image-catalogue/dermoscopy-course-images,https://dermnetnz.org/assets/Uploads/solar-lentigo9-s__FocusFillWzE1MCwxMTAsIngiLDVd.jpg
Digital myxoid cyst images,https://dermnetnz.org/topics/digital-myxoid-cyst-images,https://dermnetnz.org/assets/Uploads/myxoid3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Discoid eczema images,https://dermnetnz.org/topics/discoid-eczema-images,https://dermnetnz.org/assets/Uploads/nummular-eczema39-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Disease relating to site or age images,https://dermnetnz.org/image-catalogue/disease-relating-to-site-or-age-images,https://dermnetnz.org/assets/Uploads/eosinophilic-ulcer-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dry skin images,https://dermnetnz.org/topics/dry-skin-images,https://dermnetnz.org/assets/Uploads/2646__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dysplastic naevi images,https://dermnetnz.org/topics/atypical-naevus-images,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Eccrine poroma images,https://dermnetnz.org/topics/eccrine-poroma-images,https://dermnetnz.org/assets/Uploads/lesions/w/eccrine-poroma2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Ecthyma images,https://dermnetnz.org/topics/ecthyma-images,https://dermnetnz.org/assets/Uploads/ecthyma-3-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Eczema herpeticum images,https://dermnetnz.org/topics/eczema-herpeticum-images,https://dermnetnz.org/assets/Uploads/eczema-herpticum02-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Ehlers–Danlos syndrome images,https://dermnetnz.org/topics/ehlers-danlos-syndrome-images,https://dermnetnz.org/assets/Uploads/EDS-hypermobility-02__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Enteroviral infection images,https://dermnetnz.org/topics/hand-foot-and-mouth-disease-images,https://dermnetnz.org/assets/Uploads/hfm3-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
